"Название","Автор","Ссылка"
"WEBASSEMBLY - НОВЫЙ СТАНДАРТ КОТОРЫЙ ИЗМЕНИТ WEB","Артамошкин М.С.","https://www.elibrary.ru/item.asp?id=26477516"
"ПОВЫШЕНИЕ СКОРОСТИ ИСПОЛНЕНИЯ КОДА JAVASCRIPT С ПОМОЩЬЮ ТЕХНОЛОГИИ WEBASSEMBLY","Иванов И.П.","https://www.elibrary.ru/item.asp?id=29399970"
"REWAMP: RAPID WEB MIGRATION PROTOTYPING LEVERAGING WEBASSEMBLY","Heil S., Siegert V., Gaedke M.","https://www.elibrary.ru/item.asp?id=36147376"
"НЕКОТОРЫЕ ВОПРОСЫ ИСПОЛЬЗОВАНИЯ ТЕХНОЛОГИИ WEBASSEMBLY В СОВРЕМЕННЫХ БРАУЗЕРАХ","Григоренко А.В.","https://www.elibrary.ru/item.asp?id=36775994"
"НЕКОТОРЫЕ ВОПРОСЫ ИСПОЛЬЗОВАНИЯ ТЕХНОЛОГИИ WEBASSEMBLY И WEB USB В СОВРЕМЕННЫХ БРАУЗЕРАХ","Григоренко А.В.","https://www.elibrary.ru/item.asp?id=37256051"
"ИСПОЛЬЗОВАНИЕ ТЕХНОЛОГИИ REACT NATIVE И WEBASSEMBLY ДЛЯ РАЗРАБОТКИ МОБИЛЬНЫХ ПРИЛОЖЕНИЙ","Лымарев А.А.","https://www.elibrary.ru/item.asp?id=38249039"
"АНАЛИЗ ТЕХНОЛОГИИ ВЕБ-АССЕМБЛИРОВАНИЯ ДЛЯ РАЗРАБОТКИ ВЫСОКОСКОРОСТНЫХ ВЕБ-ПРИЛОЖЕНИЙ","Дикарев А.С., Гуренко В.В.","https://www.elibrary.ru/item.asp?id=44152131"
"WEBASSEMBLY","Рудаков А.И.","https://www.elibrary.ru/item.asp?id=44159418"
"ИСПОЛЬЗОВАНИЕ WEBASSEMBLY ДЛЯ КРИПТОГРАФИЧЕСКОЙ ЗАЩИТЫ ИНФОРМАЦИИ В МУЛЬТИПЛАТФОРМЕННЫХ СИСТЕМАХ","Мағзом М.М., Тананова Д.Д., Токпаев К.","https://www.elibrary.ru/item.asp?id=44730898"
"WEBASSEMBLY – HOPE FOR FAST ACCELERATION OF WEB APPLICATIONS USING JAVASCRIPT","Fras K., Nowak Z.","https://www.elibrary.ru/item.asp?id=47619436"
"ОСОБЕННОСТИ ПРИМЕНЕНИЯ BLAZOR WEBASSEMBLY ДЛЯ РАЗРАБОТКИ ВЕБ-ПРИЛОЖЕНИЙ","Еремин Д.О., Холмогорова Е.И.","https://www.elibrary.ru/item.asp?id=48236511"
"АНАЛИЗ ПРИМИТИВОВ АТАК, ИСПОЛЬЗУЮЩИХ УЯЗВИМОСТИ ЛИНЕЙНОЙ ПАМЯТИ В WEBASSEMBLY","Зернов В.А., Рубин А.В.","https://www.elibrary.ru/item.asp?id=48441769"
"АНАЛИЗ БЕЗОПАСНОСТИ ЛИНЕЙНОЙ ПАМЯТИ WEBASSEMBLY","Зернов В.А.","https://www.elibrary.ru/item.asp?id=48441770"
"WEBASSEMBLY КАК УСПЕШНЫЙ ПРИМЕР РЕАЛИЗАЦИИ КОНЦЕПЦИИ КРОССПЛАТФОРМЕННОСТИ","Шабан Д.","https://www.elibrary.ru/item.asp?id=48658824"
"ОСОБЕННОСТИ ИСПОЛЬЗОВАНИЯ НИЗКОУРОВНЕВОГО ПРОЦЕССОРНОГО КОДА С ИСПОЛЬЗОВАНИЕМ WEBASSEMBLY","Бородин О.В., Егунов В.А., Плотников В.П.","https://www.elibrary.ru/item.asp?id=48695145"
"ПРИМЕНЕНИЕ НЕЙРОКРИПТОГРАФИИ В БРАУЗЕРАХ С ИСПОЛЬЗОВАНИЕМ WEBASSEMBLY","Карабутов М.В., Байбурин В.Б., Розов А.С.","https://www.elibrary.ru/item.asp?id=49246451"
"ИССЛЕДОВАНИЕ WEBASSEMBLY И СРАВНЕНИЕ ПРОИЗВОДИТЕЛЬНОСТИ С JAVASCRIPT","Рокотянская В.В., Абрамов В.С.","https://www.elibrary.ru/item.asp?id=51676374"
"WEBASSEMBLY: РЕВОЛЮЦИОННАЯ ТЕХНОЛОГИЯ ДЛЯ ВЕБА И НЕ ТОЛЬКО","Фоканова А.С., Багаева А.П.","https://www.elibrary.ru/item.asp?id=49964051"
"ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ ТЕХНОЛОГИИ","Рахманов А.С.","https://www.elibrary.ru/item.asp?id=53922930"
